Company Name,Last Price,% Change,52 wk High,52 wk Low,Market Cap (Rs. cr)
Page Industries,"38,014.85",0.64,"54,262.30","37,138.95","42,401.28"
KPR Mill,574.8,-2.95,704,479.55,"19,647.47"
Trident,30.35,1.68,58,29.35,"15,466.23"
Raymond,"1,270.20",1.16,"1,644.00",645,"8,456.20"
Swan Energy,253.2,-0.1,379,155,"6,682.38"
Welspun India,66.4,,112.05,62.3,"6,560.71"
Alok Industries,12.47,-2.96,29.8,10.07,"6,191.65"
Jindal Worldwid,306.8,0.82,,198.4,"6,151.97"
Garware Technic,"2,953.00",0.27,"3,752.55","2,611.20","6,017.67"
Raj Rayon Ind,81,1.95,81,,"4,504.27"
PDS,325.25,-1.02,414.84,282,"4,257.36"
Lux Industries,"1,279.75",-1.86,,"1,271.00","3,848.42"
Indo Count,128.95,0.27,189.4,119.7,"2,553.91"
Kewal Kiran,394,4.65,592.35,178.5,"2,428.03"
Gokaldas Export,385.4,,519.55,301.1,"2,334.68"
Arvind,83,1.34,138.5,77.7,"2,170.43"
Mayur Uniquoter,490.1,3.4,,319.4,"2,154.12"
Siyaram Silk,452.55,-0.21,698,409.3,"2,121.11"
Ganesha Ecosph,891.25,1.58,985.05,543.25,"1,945.55"
Dollar Ind,316.7,0.24,639,310.25,"1,796.20"
Filatex India,38.6,1.18,69.2,37.45,"1,710.02"
Rupa and Comp,204,-0.92,585.05,201.8,"1,622.30"
BOMDYEING,65.9,3.05,140.6,62.8,"1,361.06"
Indo Rama Synth,47.6,6.01,86.25,44,"1,242.90"
Monte Carlo,567.8,1.07,907.55,424.9,"1,177.17"
Nitin Spinners,207.45,,279.95,,"1,166.28"
Sangam India,216.6,1.76,422,185,975.71
Kitex Garments,141.7,0.96,308.9,138.6,942.3
Pearl Global In,397.6,0.82,615.05,327.25,861.36
Sportking India,645.5,0.91,,637.1,857.69
Ambika Cotton,"1,441.00",-0.59,"2,664.90","1,324.45",824.97
SEL Mgf Company,238.9,-1.99,"1,237.85",177.7,791.59
S P Apparels,314.45,2.26,463.5,273,789.04
Nahar Spinning,217,0.51,645.8,213.8,782.62
Sutlej Textiles,47.45,-0.21,87.9,46.65,777.37
Century Enka,351.15,-2.35,671.95,345.2,767.28
Himatsingka Sei,76.05,-0.91,173.9,68.5,748.77
RSWM,156.45,-1.85,366.83,147.55,736.91
Cheviot Company,"1,088.00",-0.26,"1,485.00","1,051.00",654.64
Binny,262,-2.57,453.8,225.1,584.77
Ruby Mills,172,-4.97,368.9,145.63,575.17
Rajapalayam,593,1.35,"1,005.65",,546.76
Banswara Syntex,131.35,0.46,153.58,89.43,449.64
Mallcom (India),690.9,0.88,897.4,590,431.12
Raghuvir Synth,107.6,-0.19,227.9,104.95,416.95
Donear Ind,77.95,1.7,119.55,43.25,405.34
Vishal Fabrics,19.55,2.36,44.6,18.25,386.33
Orbit Exports,137.8,1.85,197,96,377.34
SBC Exports,16,-3.32,,4.49,338.62
Nahar Ent,84.8,-1.05,238,84.05,337.8
VIP Clothing,40.15,-0.37,57.75,20.9,331.63
Mafatlal Ind,46.1,3.25,81.6,30.71,325.45
Integra Essenti,7.06,-4.72,9.35,1.69,322.67
Mahalaxmi Rub,293.35,-0.05,308.4,104,311.55
Sarla Performan,37.05,-0.27,69.25,36,309.38
Shri Dinesh Mil,550,3.04,799.9,426,308.03
AYM Syntex,60.35,-0.25,142.9,56,303.88
Loyal Textiles,614,-2.23,"1,399.00",611.2,295.73
Ashima,15.05,2.03,18.25,10.4,288.45
Nandan Denim,18.4,-3.66,69.9,17.95,265.23
Lakshmi Mills,"3,735.00",2.11,"5,294.00","3,010.00",259.79
Pasupati Acrylo,28.1,-1.58,48,28.05,250.46
Bannari A Spg,38.45,0.39,,37.05,249.32
Zodiac Clothing,90.3,-2.38,129.9,78.55,234.72
Super Sales,751,-2.45,"1,040.00",670,230.67
MK Exim,84.15,0.18,119.7,66.3,226.46
Indian Terrain,49.35,-1.6,88,37.25,218.58
Maral Overseas,49.95,2.88,108.95,48.35,207.33
Digjam,103,1.98,219,87,206
JCT,2.29,2.69,5.29,2.2,198.85
Manomay Tex Ind,133,-3.06,169.3,48,195.29
VTM,48.5,0.21,65,40.1,195.1
Ginni Filaments,22.6,3.2,,20.3,193.57
Akshar Spintex,75.95,-2,133.9,29.65,189.87
Suryalata Spg,435,0.02,442,272.4,185.61
Swadeshi Polyte,45.85,4.92,63.85,4.28,178.81
ST Corporation,54,0.37,94.19,2.81,171.89
SPL Industries,57.75,2.21,86,43.45,167.48
Surat Textile,7.52,-1.05,18.75,7.32,166.99
BSL,161.65,-1.19,238,85.2,166.37
Filatex Fashion,16.8,4.67,26.35,5.66,162.65
RRIL,13.4,-0.37,19.8,11,162.43
Deepak Spinners,223,2.01,342,197.2,160.32
Jasch Ind,140.3,4.39,235,120.25,158.96
TT,71.85,1.13,129.2,65.9,154.46
Lovable Lingeri,103.4,0.44,181.5,101,153.03
Lambodhara Text,144,2.31,192.95,66.3,149.44
Weizmann,93.25,-0.59,132.15,42.3,147.89
Shiva Texyarn,113.65,-4.09,272,111.8,147.32
R&B Denims,20.55,,92.95,20.2,143.8
DCM,76,-0.98,111.4,43.05,141.95
Reliance Chemo,182.25,10.56,288,128.85,137.48
Indian Acrylics,10.03,-3.74,17.65,10,135.73
Winsome Textile,68.15,-3.13,123.7,64.2,135.07
Salona Cotspin,233.9,4.56,332.95,182,123.09
Amarjothi Spin,180.4,0.56,209.95,144,121.77
KG Petrochem,199,5.29,,178.05,115.72
Virat Ind,234.9,2.24,282.6,125.3,115.65
Vippy Spinpro,188.25,-4.13,217.7,91.1,110.5
Premco Global,331.1,-2.1,492.95,290.55,109.42
